State/Region	Total_GDP_USD_2019_Q3
California	3,155,224
Texas	1,896,063
New York	1,740,745
Florida	1,100,721
Illinois	901,572
Pennsylvania	817,216
Ohio	701,438
New Jersey	648,984
Georgia	619,818
Washington	603,772
Massachusetts	599,092
North Carolina	590,711
Virginia	557,144
Michigan	543,977
Maryland	430,388
Colorado	392,348
Minnesota	383,094
Tennessee	382,275
Indiana	379,133
Arizona	368,556
Wisconsin	348,822
Missouri	334,286
Connecticut	287,560
Louisiana	264,853
Oregon	253,036
South Carolina	247,711
Alabama	232,145
Kentucky	215,586
Oklahoma	206,254
Iowa	195,858
Utah	189,809
Nevada	178,622
Kansas	174,183
District of Columbia	146,996
Arkansas	134,022
Nebraska	127,941
Mississippi	119,497
New Mexico	104,349
Puerto Rico	101,131
Hawaii	97,664
New Hampshire	89,152
Idaho	81,493
West Virginia	78,270
Delaware	75,765
Maine	67,905
Rhode Island	63,903
North Dakota	57,106
Alaska	55,430
South Dakota	53,692
Montana	52,470
Wyoming	39,610
Vermont	34,973
Guam	5,859
U.S. Virgin Islands	3,855
Northern Mariana Islands	1,593
American Samoa	634
